Listing for omni2 data from 20240507 to 20240515
Selected parameters:
 1 BZ, nT (GSM)
 2 SW Plasma Temperature, K
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s
 5 Flow pressure

YEAR DOY HR    1        2     3     4     5 
2024 132 20   0.2  382027.   7.0  896. 13.18
2024 132 21   0.9  252303.   8.1  894. 15.65
2024 132 22   8.0  190396.   7.0  887. 13.17
2024 132 23   3.5  758667.   1.7  882.  2.64
2024 133  0   0.5  630171.   2.0  938.  3.52
2024 133  1  -4.9  206127.   2.5 1006.  5.06
2024 133  2  -3.2   82940.   4.5  960.  8.29
2024 133  3   2.2   24903.   6.6  935. 11.54
2024 133  4   1.9   27470.   9.0  926. 15.43
2024 133  5   3.0   21688.   3.1  909.  5.24
2024 133  6   2.8   13036.   2.2  886.  3.58
2024 133  7   1.8   16024.   1.5  876.  2.48
2024 133  8   1.0  152116.   1.3  853.  1.95
2024 133  9   1.0   65402.   1.7  855.  2.57
2024 133 10   5.3  121802.   3.1  878.  5.03
2024 133 11   4.4  404251.   1.4  875.  2.14
2024 133 12   3.5  628208.   1.0  874.  1.53
2024 133 13   2.9  556381.   0.9  859.  1.24
2024 133 14   0.1  530791.   1.0  862.  1.39
2024 133 15   1.0  678631.   0.9  852.  1.31
2024 133 16   2.0  994196.   1.1  840.  1.55
2024 133 17   1.9 1235003.   1.4  854.  2.04
2024 133 18   0.9 1103747.   1.8  900.  2.80
2024 133 19   1.2  728125.   2.0  872.  3.38
2024 133 20  -1.5  540616.   2.3  863.  3.48
2024 133 21  -4.9  163092.   3.1  834.  4.59
2024 133 22  -1.7  162215.   4.5  834.  6.90
2024 133 23   3.2  108901.   6.9  829. 10.23
2024 134  0   1.2   69373.   6.2  809.  8.46
2024 134  1  -2.0   87850.   6.6  810.  9.00
2024 134  2  -1.3   83164.   6.8  804.  9.45
2024 134  3  -2.4   85480.   7.6  799. 10.50
2024 134  4  -4.1   72699.   8.9  785. 11.80
2024 134  5  -4.6   55258.   7.6  769.  9.61
2024 134  6  -6.2   39587.   4.7  748.  5.55
2024 134  7  -2.9   45617.   7.4  717.  8.03
2024 134  8   4.3   64247.   8.9  706.  9.22
2024 134  9   4.1   56622.   7.3  698.  7.34
2024 134 10   5.0   59830.   6.7  685.  6.53
2024 134 11   3.0   85765.   6.8  676.  6.73
2024 134 12   4.4   53267.   5.6  633.  4.80
2024 134 13   3.8   61932.   4.6  634.  4.04
2024 134 14   4.3   45788.   3.2  628.  2.65
2024 134 15   4.5   21910.   4.6  623.  3.76
2024 134 16   4.6   30224.   3.7  619.  2.78
2024 134 17   2.0   55619.   2.9  611.  2.12
2024 134 18   3.8   29170.   3.9  609.  2.73
2024 134 19   4.0   19300.   4.7  598.  3.29
2024 134 20   3.3   16034.   4.5  594.  3.05
2024 134 21   4.0   17249.   5.3  587.  3.61
2024 134 22   4.8   20379.   4.9  580.  3.35
2024 134 23   4.7   24954.   4.1  572.  2.76
2024 135  0   5.0   35931.   4.8  579.  3.15
2024 135  1   4.6   26744.   3.9  577.  2.43
2024 135  2   3.6   28089.   3.0  572.  1.82
2024 135  3   3.0   27692.   2.2  566.  1.31
2024 135  4   2.7   25838.   1.9  560.  1.11
2024 135  5   0.8   35363.   2.1  553.  1.24
2024 135  6   2.0   38087.   1.7  551.  0.98
2024 135  7   4.8   88198.   0.9  552.  0.51
2024 135  8   4.1   92907.   0.8  551.  0.47
2024 135  9   3.8   87669.   0.7  539.  0.45
